type,delay,period,count,size,xmt,rcv,loss,timeouts,sample,avg
Configured_grant,15,55,180,56,180,48,73,132,6,45.3
dynamicGrant,10,45,220,56,220,212,3,8,1,26.9
Configured_grant,15,55,180,56,180,176,2,4,5,29.7
dynamicGrant,10,35,285,56,285,223,21,62,4,26.9
rach_based,30,45,220,56,220,0,100,220,2,
dynamicGrant,25,45,220,56,220,85,61,135,4,41.1
rach_based,25,55,180,56,180,45,75,135,3,50.3
Configured_grant,30,45,220,56,220,5,97,215,3,43.5
Configured_grant,20,55,180,56,180,173,3,7,5,25.7
dynamicGrant,20,45,220,56,220,87,60,133,1,40.3
dynamicGrant,25,55,180,56,180,6,96,174,3,49.9
Configured_grant,10,35,285,56,285,278,2,7,15,20.4
Configured_grant,25,45,220,56,220,154,30,66,5,34.0
dynamicGrant,30,45,220,56,220,14,93,206,2,43.8
dynamicGrant,15,55,180,56,180,162,10,18,3,35.7
rach_based,20,35,285,56,285,4,98,281,3,34.1
Configured_grant,30,55,180,56,180,156,13,24,6,46.4
Configured_grant,10,45,220,56,220,168,23,52,2,29.9
Configured_grant,10,35,285,56,285,276,3,9,14,20.4
Configured_grant,25,55,180,56,180,112,37,68,1,44.2
rach_based,25,55,180,56,180,108,40,72,2,44.0
dynamicGrant,20,45,220,56,220,126,42,94,2,36.5
dynamicGrant,30,55,180,56,180,68,62,112,4,48.9
Configured_grant,30,45,220,56,220,1,99,219,1,44.9
dynamicGrant,30,55,180,56,180,1,99,179,3,54.1
dynamicGrant,10,45,220,56,220,73,66,147,3,26.6
dynamicGrant,25,45,220,56,220,122,44,98,2,40.6
dynamicGrant,10,55,180,56,180,175,2,5,4,28.4
dynamicGrant,30,45,220,56,220,9,95,211,4,43.5
Configured_grant,15,35,285,56,285,216,24,69,5,25.9
dynamicGrant,15,45,220,56,220,157,28,63,1,33.1
rach_based,10,55,180,56,180,172,4,8,1,31.2
Configured_grant,25,35,285,56,285,39,86,246,2,33.3
dynamicGrant,10,55,180,56,180,175,2,5,2,29.0
rach_based,20,35,285,56,285,2,99,283,1,34.2
dynamicGrant,20,45,220,56,220,119,45,101,3,37.3
rach_based,30,45,220,56,220,3,98,217,3,44.3
Configured_grant,20,45,220,56,220,167,24,53,1,30.9
dynamicGrant,30,45,220,56,220,6,97,214,1,43.7
dynamicGrant,10,45,220,56,220,211,4,9,6,21.7
dynamicGrant,15,35,285,56,285,137,51,148,2,30.2
dynamicGrant,30,55,180,56,180,43,76,137,3,51.2
dynamicGrant,10,55,180,56,180,179,0,1,5,28.0
rach_based,10,55,180,56,180,173,3,7,2,27.8
dynamicGrant,10,45,220,56,220,208,5,12,3,26.7
rach_based,20,55,180,56,180,89,50,91,3,40.6
dynamicGrant,20,45,220,56,220,120,45,100,2,38.1
dynamicGrant,15,35,285,56,285,160,43,125,2,28.9
dynamicGrant,25,45,220,56,220,34,84,186,3,42.3
dynamicGrant,20,45,220,56,220,136,38,84,5,35.7
dynamicGrant,20,45,220,56,220,210,4,10,1,35.1
Configured_grant,30,55,180,56,180,65,63,115,1,50.6
dynamicGrant,25,35,285,56,285,1,99,284,6,34.6
dynamicGrant,10,35,285,56,285,228,20,57,5,22.5
dynamicGrant,30,35,285,56,285,16,94,269,2,34.5
dynamicGrant,10,45,220,56,220,211,4,9,4,26.6
rach_based,15,45,220,56,220,147,33,73,3,33.0
dynamicGrant,25,55,180,56,180,109,39,71,1,44.3
Configured_grant,15,55,180,56,180,160,11,20,3,34.8
dynamicGrant,20,55,180,56,180,124,31,56,3,38.6
dynamicGrant,15,35,285,56,285,125,56,160,1,28.5
dynamicGrant,15,35,285,56,285,8,97,277,1,31.4
dynamicGrant,20,55,180,56,180,132,26,48,6,38.7
Configured_grant,15,35,285,56,285,1,99,284,4,28.1
dynamicGrant,30,55,180,56,180,72,60,108,1,49.5
dynamicGrant,20,35,285,56,285,115,59,170,5,32.9
dynamicGrant,15,45,220,56,220,124,43,96,3,37.9
dynamicGrant,25,55,180,56,180,65,63,115,6,45.7
dynamicGrant,20,35,285,56,285,71,75,214,1,33.1
dynamicGrant,10,55,180,56,180,171,5,9,2,29.1
dynamicGrant,20,35,285,56,285,2,99,283,6,34.0
dynamicGrant,20,55,180,56,180,123,31,57,2,45.5
