192.168.72.135 : [114], 64 bytes, 38.2 ms (36.0 avg, 8% loss)
192.168.72.135 : [115], 64 bytes, 41.0 ms (36.0 avg, 8% loss)
192.168.72.135 : [116], 64 bytes, 32.5 ms (36.0 avg, 8% loss)
192.168.72.135 : [117], 64 bytes, 32.4 ms (35.9 avg, 8% loss)
192.168.72.135 : [118], 64 bytes, 33.8 ms (35.9 avg, 8% loss)
192.168.72.135 : [119], 64 bytes, 35.4 ms (35.9 avg, 8% loss)
192.168.72.135 : [120], 64 bytes, 37.3 ms (35.9 avg, 8% loss)
192.168.72.135 : [121], 64 bytes, 31.0 ms (35.9 avg, 8% loss)
192.168.72.135 : [122], 64 bytes, 35.2 ms (35.9 avg, 8% loss)
192.168.72.135 : [123], 64 bytes, 31.6 ms (35.8 avg, 8% loss)
192.168.72.135 : [124], 64 bytes, 30.2 ms (35.8 avg, 8% loss)
192.168.72.135 : [125], 64 bytes, 31.2 ms (35.8 avg, 7% loss)
192.168.72.135 : [126], 64 bytes, 28.2 ms (35.7 avg, 7% loss)
192.168.72.135 : [127], 64 bytes, 30.0 ms (35.6 avg, 7% loss)
192.168.72.135 : [128], 64 bytes, 35.9 ms (35.6 avg, 7% loss)
192.168.72.135 : [129], 64 bytes, 32.5 ms (35.6 avg, 7% loss)
192.168.72.135 : [130], 64 bytes, 32.3 ms (35.6 avg, 7% loss)
192.168.72.135 : [131], 64 bytes, 32.1 ms (35.6 avg, 7% loss)
192.168.72.135 : [132], 64 bytes, 34.6 ms (35.6 avg, 7% loss)
192.168.72.135 : [133], 64 bytes, 34.5 ms (35.5 avg, 7% loss)
192.168.72.135 : [134], 64 bytes, 35.8 ms (35.5 avg, 7% loss)
192.168.72.135 : [135], 64 bytes, 38.2 ms (35.6 avg, 7% loss)
192.168.72.135 : [136], 64 bytes, 34.1 ms (35.6 avg, 7% loss)
192.168.72.135 : [137], 64 bytes, 33.9 ms (35.5 avg, 7% loss)
192.168.72.135 : [138], 64 bytes, 35.4 ms (35.5 avg, 7% loss)
192.168.72.135 : [139], 64 bytes, 32.9 ms (35.5 avg, 7% loss)
192.168.72.135 : [140], 64 bytes, 35.0 ms (35.5 avg, 7% loss)
192.168.72.135 : [141], 64 bytes, 38.1 ms (35.5 avg, 7% loss)
192.168.72.135 : [142], 64 bytes, 35.7 ms (35.5 avg, 6% loss)
192.168.72.135 : [143], 64 bytes, 34.3 ms (35.5 avg, 6% loss)
192.168.72.135 : [144], 64 bytes, 40.6 ms (35.6 avg, 6% loss)
192.168.72.135 : [145], 64 bytes, 32.1 ms (35.5 avg, 6% loss)
192.168.72.135 : [146], 64 bytes, 32.4 ms (35.5 avg, 6% loss)
192.168.72.135 : [147], 64 bytes, 34.8 ms (35.5 avg, 6% loss)
192.168.72.135 : [148], 64 bytes, 38.9 ms (35.5 avg, 6% loss)
192.168.72.135 : [149], 64 bytes, 33.9 ms (35.5 avg, 6% loss)
192.168.72.135 : [150], 64 bytes, 31.9 ms (35.5 avg, 6% loss)
192.168.72.135 : [151], 64 bytes, 36.0 ms (35.5 avg, 6% loss)
192.168.72.135 : [152], 64 bytes, 36.3 ms (35.5 avg, 6% loss)
192.168.72.135 : [153], 64 bytes, 33.9 ms (35.5 avg, 6% loss)
192.168.72.135 : [154], 64 bytes, 33.7 ms (35.5 avg, 6% loss)
192.168.72.135 : [155], 64 bytes, 34.6 ms (35.5 avg, 6% loss)
192.168.72.135 : [156], 64 bytes, 39.6 ms (35.5 avg, 6% loss)
192.168.72.135 : [157], 64 bytes, 34.2 ms (35.5 avg, 6% loss)
192.168.72.135 : [158], 64 bytes, 34.7 ms (35.5 avg, 6% loss)
192.168.72.135 : [159], 64 bytes, 32.0 ms (35.5 avg, 6% loss)
192.168.72.135 : [160], 64 bytes, 34.4 ms (35.5 avg, 6% loss)
192.168.72.135 : [161], 64 bytes, 32.3 ms (35.4 avg, 6% loss)
192.168.72.135 : [162], 64 bytes, 33.8 ms (35.4 avg, 6% loss)
192.168.72.135 : [163], 64 bytes, 32.8 ms (35.4 avg, 6% loss)
192.168.72.135 : [164], 64 bytes, 39.3 ms (35.4 avg, 6% loss)
192.168.72.135 : [165], 64 bytes, 34.8 ms (35.4 avg, 6% loss)
192.168.72.135 : [166], 64 bytes, 36.5 ms (35.4 avg, 5% loss)
192.168.72.135 : [167], 64 bytes, 32.2 ms (35.4 avg, 5% loss)
192.168.72.135 : [168], 64 bytes, 32.4 ms (35.4 avg, 5% loss)
192.168.72.135 : [169], 64 bytes, 31.9 ms (35.4 avg, 5% loss)
192.168.72.135 : [170], 64 bytes, 36.9 ms (35.4 avg, 5% loss)
192.168.72.135 : [171], 64 bytes, 35.4 ms (35.4 avg, 5% loss)
192.168.72.135 : [172], 64 bytes, 34.6 ms (35.4 avg, 5% loss)
192.168.72.135 : [173], 64 bytes, 35.0 ms (35.4 avg, 5% loss)
192.168.72.135 : [174], 64 bytes, 32.6 ms (35.4 avg, 5% loss)
192.168.72.135 : [175], 64 bytes, 33.6 ms (35.4 avg, 5% loss)
192.168.72.135 : [176], 64 bytes, 38.6 ms (35.4 avg, 5% loss)
192.168.72.135 : [177], 64 bytes, 38.3 ms (35.4 avg, 5% loss)
192.168.72.135 : [178], 64 bytes, 31.4 ms (35.4 avg, 5% loss)
192.168.72.135 : [179], 64 bytes, 38.9 ms (35.4 avg, 5% loss)
192.168.72.135 : [180], 64 bytes, 36.8 ms (35.4 avg, 5% loss)
192.168.72.135 : [181], 64 bytes, 38.5 ms (35.4 avg, 5% loss)
192.168.72.135 : [182], 64 bytes, 36.7 ms (35.4 avg, 5% loss)
192.168.72.135 : [183], 64 bytes, 32.7 ms (35.4 avg, 5% loss)
192.168.72.135 : [184], 64 bytes, 30.7 ms (35.4 avg, 5% loss)
192.168.72.135 : [185], 64 bytes, 30.8 ms (35.4 avg, 5% loss)
192.168.72.135 : [186], 64 bytes, 31.0 ms (35.3 avg, 5% loss)
192.168.72.135 : [187], 64 bytes, 32.4 ms (35.3 avg, 5% loss)
192.168.72.135 : [188], 64 bytes, 37.7 ms (35.3 avg, 5% loss)
192.168.72.135 : [189], 64 bytes, 34.6 ms (35.3 avg, 5% loss)
192.168.72.135 : [190], 64 bytes, 36.1 ms (35.3 avg, 5% loss)
192.168.72.135 : [191], 64 bytes, 33.3 ms (35.3 avg, 5% loss)
192.168.72.135 : [192], 64 bytes, 36.4 ms (35.3 avg, 5% loss)
192.168.72.135 : [193], 64 bytes, 37.2 ms (35.3 avg, 5% loss)
192.168.72.135 : [194], 64 bytes, 33.2 ms (35.3 avg, 5% loss)
192.168.72.135 : [195], 64 bytes, 34.5 ms (35.3 avg, 5% loss)
192.168.72.135 : [196], 64 bytes, 38.7 ms (35.3 avg, 5% loss)
192.168.72.135 : [197], 64 bytes, 36.0 ms (35.3 avg, 5% loss)
192.168.72.135 : [198], 64 bytes, 31.8 ms (35.3 avg, 5% loss)
192.168.72.135 : [199], 64 bytes, 29.9 ms (35.3 avg, 5% loss)
192.168.72.135 : [200], 64 bytes, 32.0 ms (35.3 avg, 4% loss)
192.168.72.135 : [201], 64 bytes, 31.5 ms (35.3 avg, 4% loss)
192.168.72.135 : [202], 64 bytes, 35.0 ms (35.3 avg, 4% loss)
192.168.72.135 : [203], 64 bytes, 32.7 ms (35.2 avg, 4% loss)
192.168.72.135 : [204], 64 bytes, 31.0 ms (35.2 avg, 4% loss)
192.168.72.135 : [205], 64 bytes, 32.1 ms (35.2 avg, 4% loss)
192.168.72.135 : [206], 64 bytes, 38.3 ms (35.2 avg, 4% loss)
192.168.72.135 : [207], 64 bytes, 34.8 ms (35.2 avg, 4% loss)
192.168.72.135 : [208], 64 bytes, 33.6 ms (35.2 avg, 4% loss)
192.168.72.135 : [209], 64 bytes, 34.1 ms (35.2 avg, 4% loss)
192.168.72.135 : [210], 64 bytes, 33.2 ms (35.2 avg, 4% loss)
192.168.72.135 : [211], 64 bytes, 31.6 ms (35.2 avg, 4% loss)
192.168.72.135 : [212], 64 bytes, 33.9 ms (35.2 avg, 4% loss)
192.168.72.135 : [213], 64 bytes, 29.6 ms (35.1 avg, 4% loss)
192.168.72.135 : [214], 64 bytes, 31.2 ms (35.1 avg, 4% loss)
192.168.72.135 : [215], 64 bytes, 35.6 ms (35.1 avg, 4% loss)
192.168.72.135 : [216], 64 bytes, 34.7 ms (35.1 avg, 4% loss)
192.168.72.135 : [217], 64 bytes, 33.0 ms (35.1 avg, 4% loss)
192.168.72.135 : [218], 64 bytes, 35.1 ms (35.1 avg, 4% loss)
192.168.72.135 : [219], 64 bytes, 31.1 ms (35.1 avg, 4% loss)

192.168.72.135 : xmt/rcv/%loss = 220/210/4%, min/avg/max = 28.2/35.1/44.7

       1 targets
       1 alive
       0 unreachable
       0 unknown addresses

      10 timeouts (waiting for response)
     220 ICMP Echos sent
     220 ICMP Echo Replies received
       0 other ICMP received

 28.2 ms (min round trip time)
 35.1 ms (avg round trip time)
 44.7 ms (max round trip time)
        9.887 sec (elapsed real time)

