192.168.72.135 : [256], timed out (NaN avg, 100% loss)
192.168.72.135 : [257], timed out (NaN avg, 100% loss)
192.168.72.135 : [258], timed out (NaN avg, 100% loss)
192.168.72.135 : [259], timed out (NaN avg, 100% loss)
192.168.72.135 : [260], timed out (NaN avg, 100% loss)
192.168.72.135 : [261], timed out (NaN avg, 100% loss)
192.168.72.135 : [262], timed out (NaN avg, 100% loss)
192.168.72.135 : [263], timed out (NaN avg, 100% loss)
192.168.72.135 : [264], timed out (NaN avg, 100% loss)
192.168.72.135 : [265], timed out (NaN avg, 100% loss)
192.168.72.135 : [266], timed out (NaN avg, 100% loss)
192.168.72.135 : [267], timed out (NaN avg, 100% loss)
192.168.72.135 : [268], timed out (NaN avg, 100% loss)
192.168.72.135 : [269], timed out (NaN avg, 100% loss)
192.168.72.135 : [270], timed out (NaN avg, 100% loss)
192.168.72.135 : [271], timed out (NaN avg, 100% loss)
192.168.72.135 : [272], timed out (NaN avg, 100% loss)
192.168.72.135 : [273], timed out (NaN avg, 100% loss)
192.168.72.135 : [274], timed out (NaN avg, 100% loss)
192.168.72.135 : [275], timed out (NaN avg, 100% loss)
192.168.72.135 : [276], timed out (NaN avg, 100% loss)
192.168.72.135 : [277], timed out (NaN avg, 100% loss)
192.168.72.135 : [278], timed out (NaN avg, 100% loss)
192.168.72.135 : [279], timed out (NaN avg, 100% loss)
192.168.72.135 : [280], timed out (NaN avg, 100% loss)
192.168.72.135 : [281], timed out (NaN avg, 100% loss)
192.168.72.135 : [282], timed out (NaN avg, 100% loss)
192.168.72.135 : [283], timed out (NaN avg, 100% loss)
192.168.72.135 : [284], timed out (NaN avg, 100% loss)

192.168.72.135 : xmt/rcv/%loss = 285/0/100%

       1 targets
       0 alive
       1 unreachable
       0 unknown addresses

     285 timeouts (waiting for response)
     285 ICMP Echos sent
     284 ICMP Echo Replies received
       0 other ICMP received

 0.000 ms (min round trip time)
 0.000 ms (avg round trip time)
 0.000 ms (max round trip time)
        9.976 sec (elapsed real time)

