192.168.72.135 : [119], 64 bytes, 20.1 ms (29.7 avg, 2% loss)
192.168.72.135 : [120], 64 bytes, 19.1 ms (29.6 avg, 2% loss)
192.168.72.135 : [121], 64 bytes, 37.8 ms (29.7 avg, 2% loss)
192.168.72.135 : [122], 64 bytes, 21.7 ms (29.6 avg, 2% loss)
192.168.72.135 : [123], 64 bytes, 38.9 ms (29.7 avg, 2% loss)
192.168.72.135 : [124], 64 bytes, 27.0 ms (29.7 avg, 2% loss)
192.168.72.135 : [125], 64 bytes, 38.8 ms (29.8 avg, 2% loss)
192.168.72.135 : [126], 64 bytes, 31.4 ms (29.8 avg, 2% loss)
192.168.72.135 : [127], 64 bytes, 21.4 ms (29.7 avg, 2% loss)
192.168.72.135 : [128], 64 bytes, 18.0 ms (29.6 avg, 2% loss)
192.168.72.135 : [129], 64 bytes, 29.2 ms (29.6 avg, 2% loss)
192.168.72.135 : [130], 64 bytes, 48.2 ms (29.8 avg, 2% loss)
192.168.72.135 : [131], 64 bytes, 31.3 ms (29.8 avg, 2% loss)
192.168.72.135 : [132], 64 bytes, 23.1 ms (29.7 avg, 2% loss)
192.168.72.135 : [133], 64 bytes, 26.9 ms (29.7 avg, 2% loss)
192.168.72.135 : [134], 64 bytes, 19.6 ms (29.6 avg, 2% loss)
192.168.72.135 : [135], 64 bytes, 43.7 ms (29.7 avg, 2% loss)
192.168.72.135 : [136], 64 bytes, 27.3 ms (29.7 avg, 2% loss)
192.168.72.135 : [137], 64 bytes, 38.0 ms (29.8 avg, 2% loss)
192.168.72.135 : [138], 64 bytes, 28.2 ms (29.8 avg, 2% loss)
192.168.72.135 : [139], 64 bytes, 25.3 ms (29.7 avg, 2% loss)
192.168.72.135 : [140], 64 bytes, 21.2 ms (29.7 avg, 2% loss)
192.168.72.135 : [141], 64 bytes, 37.4 ms (29.7 avg, 2% loss)
192.168.72.135 : [142], 64 bytes, 25.1 ms (29.7 avg, 2% loss)
192.168.72.135 : [143], 64 bytes, 39.6 ms (29.8 avg, 2% loss)
192.168.72.135 : [144], 64 bytes, 30.9 ms (29.8 avg, 2% loss)
192.168.72.135 : [145], 64 bytes, 18.0 ms (29.7 avg, 2% loss)
192.168.72.135 : [146], 64 bytes, 30.1 ms (29.7 avg, 2% loss)
192.168.72.135 : [147], 64 bytes, 19.0 ms (29.6 avg, 2% loss)
192.168.72.135 : [148], 64 bytes, 43.8 ms (29.7 avg, 2% loss)
192.168.72.135 : [149], 64 bytes, 35.3 ms (29.7 avg, 2% loss)
192.168.72.135 : [150], 64 bytes, 27.8 ms (29.7 avg, 1% loss)
192.168.72.135 : [151], 64 bytes, 21.0 ms (29.7 avg, 1% loss)
192.168.72.135 : [152], 64 bytes, 39.0 ms (29.7 avg, 1% loss)
